,country,description,points,price,province,title,variety,winery
405,Italy,"Citrus tones, peach, white flower and mineral notes come forward thanks to the wine's bright personality and zesty effervescence. There are soft notes of crushed pepper and loads of sweet stone fruit flavors to enjoy as well.",85,19.0,Veneto,Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte
406,France,"A creamy, caramel- and pear-flavored wine, keeping freshness but enriched with an almond and custard tart finish.",85,30.0,Champagne,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart
414,Italy,"Here's a Prosecco with a broad and far-reaching aspect to its aromatic profile that recalls roasted almonds, mature peach and yellow rose. There's a pungent note in there as well of ash or talc powder and the sparkler ends with a playful blast of piquant spice.",85,16.0,Veneto,Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato
416,Italy,This is an easy-going Prosecco with lively tones of stone fruit and citrus. The wine is informal and tonic which makes it perfect as an appetizer wine or with friends on a lazy summer afternoon.,85,14.0,Veneto,Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio
453,France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",92,69.0,Champagne,Philippe Fontaine NV Brut Prestige  (Champagne),Champagne Blend,Philippe Fontaine
456,US,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",92,23.0,California,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
459,France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",92,100.0,Champagne,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend,Chanoine
490,Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",87,19.0,Catalonia,V&N; Cellars NV Reserva Brut Sparkling (Cava),Sparkling Blend,V&N; Cellars
502,Austria,"Deliciously perfumed, this is as light as a feather, with baked apple and lemon flavors. It's crisp and honey sweet—a great apéritif.",87,18.0,Österreichischer Sekt,Gunter Triebaumer NV Muscato Moscato (Österreichischer Sekt),Moscato,Gunter Triebaumer
512,France,"Aged for an extra two years to soften its tense acidity, this Champagne is defiantly bone-dry yet not searing. Its ripe and rich fruitiness cushions the crisp acidity and taut, nervy citrus character. Drink now.",91,59.0,Champagne,Boude Baudin NV B. Zéro Brut Dosage  (Champagne),Champagne Blend,Boude Baudin
528,France,"This producer shows its preference for dry Champagnes with this bone-dry, oak-fermented bottling. With its bottle age and the softening effect of wood, it's generous and gently textured, leaving plenty of room for its bright fruit and balanced acidity to show. Drink from 2018.",91,42.0,Champagne,Jeaunaux-Robin NV Brut Zéro Sélection  (Champagne),Champagne Blend,Jeaunaux-Robin
619,Italy,"Here's a Chardonnay-based sparkler from Piedmont that opens with bright tones of lemon and sweet grapefruit followed by yeasty tones of freshly baked bread. There's some bitter almond as well, which adds tartness to the finish.",87,16.0,Piedmont,Borgo Maragliano NV Brut Chardonnay (Piedmont),Chardonnay,Borgo Maragliano
620,Italy,"Extra sweetness and density give this wine a full and generous personality. Dry Proseccos usually show a little extra peach juice and nectarine, as this wine does, without being heavy or cloying.",87,20.0,Veneto,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bortolotti
770,France,"Now with its intensity and some bottle age, this wine—formerly known as Crémant de Cramant—is rich, with its apple flavor blending with an almond note and a soft, warm texture. The acidity shoots right through this ripe wine.",92,62.0,Champagne,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),Chardonnay,G. H. Mumm
772,France,"Fight your way through the string and wax sealing that holds down the cork, and you'll discover a wine that is rich, full and opulent. The ripe peach character is balanced with the delicious toasty edge and final bright acidity. Ready to drink.",92,66.0,Champagne,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),Chardonnay,Jean Milan
801,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",90,50.0,California,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Syrah,Deerfield Ranch
821,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",86,15.0,Catalonia,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra
836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",86,13.0,Catalonia,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",86,15.0,Catalonia,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
884,US,"Pretty dark in color and full bodied for a sparkling wine, even one that's majority Pinot Noir. But it's delicious and dry, which surely are prime requisites for any bubbly. Shows ripe, flashy raspberry, strawberry, orange, vanilla, honey, yeast and toast flavors, and the mouthfeel is silky and refined.",90,28.0,California,J Vineyards & Winery NV Brut Rose Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
927,Portugal,"This is crisp and fresh medium-sweet wine. It is bright with red-currant acidity and ripe with a strawberry and cream flavor. The wine is clean, lively and, of course, ready to drink.",87,12.0,Vinho Verde,Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde),Portuguese Sparkling,Aveleda
940,France,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",87,38.0,Champagne,Duménil NV Grande Réserve Premier Cru Brut  (Champagne),Champagne Blend,Duménil
956,Italy,"Here's a fun, informal sparkler that has aromas of citrus, orchard fruit and toast. The racy palate shows golden apple, pear, bitter almond and a lemon drop note.",87,30.0,Southern Italy,Cantine di Marzo NV Anni Venti Metodo Classico  (Greco di Tufo),Greco,Cantine di Marzo
959,France,"Partially from Grand Cru vineyards in the Montagne de Reims and the Côte des Blancs, this wine is soft, ripe and balanced, with a ripe dosage that contrasts with citrus acidity. It has a fine, cool texture.",87,40.0,Champagne,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart
962,France,"A balanced wine, with softness that indicates a relatively high dosage. There is no complexity, but the wine is light, creamy, flavored with green plums and kiwi, just edged with bitterness.",85,40.0,Champagne,Vranken NV Demoiselle Tête de Cuvée Brut  (Champagne),Champagne Blend,Vranken
971,France,"Although it is labeled “Extra Dry” (that is sweeter than Brut), this lively Champagne in its festive little pink bottle is very fresh, with delicious acidity. It finishes lightly, easily.",85,15.0,Champagne,Pommery NV Pop Rosé Extra Dry  (Champagne),Champagne Blend,Pommery
1048,France,"Created by music industry businessman Kedar Massenburg (CEO Motown Records), the K'orus range is produced in the Languedoc. This Cabernet Sauvignon gives blackberry fruits, very juicy, lightly sweet to finish, but retaining attractive structure and acidity.",85,12.0,Languedoc-Roussillon,Kedar's K'orus NV Cabernet Sauvignon (Vin de Pays d'Oc),Cabernet Sauvignon,Kedar's K'orus
1049,France,"Easy, creamy wine, with soft apple flavors and a touch of citrus. There is a light edge of toast to round out the soft, fleshy aftertaste.",85,12.0,Languedoc-Roussillon,Kedar's K'orus NV Chardonnay (Vin de Pays d'Oc),Chardonnay,Kedar's K'orus
1151,US,"Coffee grinds and caramel mingle with hints of popcorn and dried herbs in this curious blend of white grapes which have been aged Sherry-style in a solera. Whiffs of dried fruit and caramel are enticing, but the palate juxtaposes craggy acidity with mouthfeel that's dampening and flat.",83,45.0,New York,Ports of New York NV Meleau White Specialty Wine White (New York),White Blend,Ports of New York
1161,Italy,"There's a distinctly mineral, almost ashen quality to this wine that recalls talcum powder and schoolroom chalkboard. The wine is linear and defined and has very pungent, almost sharp, effervescence with drying minerals on the close and will keep the palate polished and clean.",86,17.0,Veneto,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),Prosecco,Bisol
1162,Italy,"This Prosecco Extra Dry has a subtle, easy approach with measured fruit intensity but recognizable sweetness in the form of silky honey and melon. It offers a good measure of cleaning effervescence and chewy fruit to keep it going.",86,15.0,Veneto,Carmina NV Extra Dry  (Prosecco di Conegliano),Prosecco,Carmina
1163,Italy,"Delicate and sweet, this pretty Prosecco offers delicate floral notes and shadings of banana and exotic fruit. It is light and foamy in the mouth with full, soft texture and sensual sweetness on the close.",86,20.0,Veneto,Carpenè Malvolti NV Cuvée Oro Dry  (Prosecco di Conegliano),Prosecco,Carpenè Malvolti
1164,Italy,"Simple peach aromas characterize this Prosecco Dry with a creamy, frothy cap, pretty bubbling and measured aromas of fruit salad and kiwi. The wine comes alive in the mouth thanks to its pretty mineral tones and generous fruity sweetness: Made from late-harvest Prosecco grapes.",86,19.0,Veneto,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),Prosecco,Col Saliz
1167,Italy,"Here is a very clean and pristine Prosecco Brut with measured but distinct notes of white peach, acacia flower and chopped kiwi. The wine tastes creamy and slightly sweet with chewy peach flavors. It makes a perfect aperitif wine.",86,13.0,Veneto,Zonin NV Special Cuvée Brut  (Prosecco del Veneto),Prosecco,Zonin
1176,Italy,This is textbook Prosecco Extra Dry with sweet fragrances of stone fruit and white flower backed by mineral shadings and delicious honey. The wine is simple with lively acidity on the close.,86,18.0,Veneto,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol
1179,France,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",88,10.0,Burgundy,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre
1209,US,"This is an assertive, flavorful and robust wine, with a medium to full body, a mouthfilling texture and fine-beaded bubbles. A creamy viscosity and wonderful layers of butter, apple, vanilla and ginger make for a delicious palate.",93,24.0,California,Roederer Estate NV Estate Bottled Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
1305,Spain,"This blends intensity and nutty richness on the nose, backed up by a full, balanced palate. Flavors of dark caramel, toffee and chocolate end with the distinct flavor of café mocha and a lasting streak of caramel.",89,18.0,Andalucia,Osborne NV Cream Sherry (Jerez),Sherry,Osborne
1412,Portugal,"The balance between wood aging and fruit is at its best in this wine. It shows plenty of red fruits filled out with raisins and nutmeg. As a contrast the wood aging has brought out a spicy, almond character. It is fresh, on the dry side for an aged tawny and, of course, ready to drink.",88,30.0,Port,Quinta dos Murças NV 10 Anos Old Tawny  (Port),Port,Quinta dos Murças
1591,US,"Gorgeous floral tones abound throughout this fruity, fresh, sparkling Riesling. It's a bit chewy and mouth-filling in foam, but pristine peach and apple flavors and spine-tingling acidity are enthralling.",88,21.0,New York,Château Frank NV Célèbre Crémant Riesling (Finger Lakes),Riesling,Château Frank
1627,US,Intense yeasty aromas lean a bit nutty with a suggestion of citrus. Aggressively frothy bubbles give way to cashews and bread dough showing hints of lemon. Grapefruit pith and peanut skin bring a slightly bitter note to the finish.,85,17.0,America,Gruet NV Blanc de Blancs Chardonnay (America),Chardonnay,Gruet
1755,Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",84,13.0,Catalonia,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,Conde de Subirats
1764,Spain,"Pickled, briny aromas of citrus and berry fruits are modest. On the palate, this is soft and low on acidity. Flavors of raspberry, cherry and red currant are mild, with a touch of bitterness.",84,14.0,Catalonia,Biutiful NV Brut Rose Garnacha (Cava),Garnacha,Biutiful
1807,France,"Lanson suggests adding fruit to this wine or using it as the base for cocktails. It is off dry, ripe and fruity in itself. A touch of toast suggests this bottling is not young. The wine confuses between crisp acidity and a soft, neutral texture. It will probably be best when it is part of a mixed drink.",85,50.0,Champagne,Lanson NV White Label Sec  (Champagne),Champagne Blend,Lanson
1878,US,"Based on Chardonnay and Pinot Noir, this luxe rosé bubbly is delicious to drink now. It's likeable for the array of strawberry, orange and lime flavors, with that savory sparkling wine yeastiness, and the bubbles are smooth and refined. Will set off many different foods, but sushi is a definite hit.",93,50.0,California,Chandon NV Etoile Rosé Sparkling (Sonoma-Napa),Sparkling Blend,Chandon
2005,Portugal,"This wine looks and tastes bright pink. It is creamy, not quite dry and soft, although the aftertaste shows some fresh acidity. Crushed strawberry flavors suggest that it will pair well with fruit salad.",84,20.0,Vinho Espumante,Wine with Spirit NV Basta Brut Rosé Sparkling (Vinho Espumante),Portuguese Sparkling,Wine with Spirit
2063,France,"From 100% grand cru Chardonnay vineyards in the Côte des Blancs, this is a rich but almost bone-dry wine. It has a great mineral character that offers freshness, apple skins and a flinty edge. The disgorgement date is indicated on the bottle. Impressive, this would benefit from six months' aging.",91,60.0,Champagne,De Sousa & Fils NV Réserve Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,De Sousa & Fils
2089,France,"If you want to taste ripe Pinot Noir in Champagne, this grand cru blend (with 40% Chardonnay, 60% Pinot Noir) from Soutiran is where to come. The wine has weight, delicious white fruits and kiwi, and a textured mouthfeel. It is concentrated, certainly in a food wine style.",90,60.0,Champagne,Soutiran NV Brut Grand Cru  (Champagne),Champagne Blend,Soutiran
2150,US,"Most of the action is on the outside of this gaudy bottle. However, this light and slightly sweet wine has appley, floral flavors and a soft, easy texture.",84,12.0,California,La Catrina NV Pinot Grigio (California),Pinot Grigio,La Catrina
2179,Spain,"This aerated, yellow-tinted brut nature smells mature, bready and buttery. The palate is full bodied, yeasty and anything but sweet. Salted citrus and papaya flavors are nutty and hold steady on a slightly flat finish. Drink now.",90,31.0,Catalonia,Maria Casanovas NV Glaç Brut Nature Sparkling (Cava),Sparkling Blend,Maria Casanovas
2288,Czech Republic,"The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. Here, it incorporates all of Cab Franc's leafy herbaceousness and Zweigelt's tart, cranberry flavors in a refreshing wine. It's delicate in concentration, but easy drinking, with lots of green, grassy notes on the finish.",85,18.0,Moravia,Vino z Czech NV Cabernet Moravia (Moravia),Cabernet Moravia,Vino z Czech
2324,France,"This soft, gentle sparkling wine is fresh with raspberry fruits and acidity at the end. Drink as an apéritif.",85,24.0,France Other,Château Saint-Pierre NV Saint-Pierre Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Château Saint-Pierre
2380,US,"This neon-watermelon sparkler shows playfully fruity aromas of watermelon hard candy and fresh strawberries. Ample acidity keeps the palate lively, with ripe watermelon, cherry and strawberry flavors carrying through to the bright finish.",87,25.0,America,Biltmore Estate NV Blanc de Noir Brut Sparkling (America),Sparkling Blend,Biltmore Estate
2469,Spain,"Intense, nutty, yeasty aromas are briny and a touch creamy. This has a tight, pure, round palate with salty nectarine, apricot and nut flavors. Walnut oil and white pepper notes grace a direct, lively finish.",90,16.0,Andalucia,Delgado Zuleta NV Premium Fino Sherry (Jerez),Sherry,Delgado Zuleta
2582,US,"Examples of this variety are rare in the state. Aromas pop with heaping amounts of fresh flowers and orange peel that are reminiscent of freesia in their intensity. The coffee and blue-fruit flavors are smooth and sultry, showing pleasing depth.",89,50.0,Washington,Brian Carter Cellars NV One Upland Vineyard Touriga Nacional (Snipes Mountain),Touriga Nacional,Brian Carter Cellars
2640,Australia,"This pale salmon rosé is a reliable sparkling wine at a very good price. The latest NV release is toasty on the nose, then offers just faint hints of peach or berry flavors. It's lithe yet creamy on the palate, with a long finish.",90,22.0,Tasmania,Jansz NV Premium Brut Rosé Sparkling (Tasmania),Sparkling Blend,Jansz
2800,US,"Here's a good, robust red wine. It's made in a country-style, with tobacco, cherry and spice flavors and a jagged mouthfeel. Drink it with tacos and burgers.",84,10.0,California,Rare NV 4 Grape Blend Red (California),Red Blend,Rare
2805,US,"Ebullient blossom and berry notes waft from this unique carbonated Pinot Noir (blended with proportions of Cabernet Franc and Cayuga grapes). Plump strawberry and cherry flavors are dry on the palate, but concentrated, accented by brisk acidity and sharp, piercing bubbles.",87,16.0,New York,Atwater NV Bubble Pinot Noir Rosé Sparkling (Seneca Lake),Sparkling Blend,Atwater
2850,US,"Dark in color, intense in fruit flavor and firmly packed with tannins, this blockbuster Bordeaux-style blend feels massive and grippy. It tastes like cranberry and blackberry, leaving astringency on the palate that will match up to the richest foods. Age a few bottles through 2019 to see how it matures.",88,25.0,California,Marietta Cellars NV Arme Lot Number 3 Red (North Coast),Red Blend,Marietta Cellars
2904,France,"This is fresh, not quite dry and a fine apéritif wine. With its soft texture, apple fruits and light mousse, it's both fruity and crisp, with a rounded, fragrant aftertaste.",86,15.0,Alsace,Ruhlmann NV Signature Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Ruhlmann
2905,France,"Crisp and textured, this offers plenty of fresh apple and red fruit flavors. It's a light, bright wine that's poised and stylish, in a fine apéritif style.",86,18.0,Alsace,Dopff & Irion NV Brut Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Dopff & Irion
2920,Portugal,"The pink hue is a little flat. That also applies to the palate, with the fruit showing some maturity and hinting at wood aging. It's a rounded style, full in the mouth, with ripe caramel flavors at the end. Drink now.",86,15.0,Port,Poças NV Poças Pink  (Port),Port,Poças
2980,France,"Intense notes of ripe red and baked apples make a strong impression. The palate is rich with the same baked apple along with a touch of honey and gingerbread. The yeasty flavors of autolysis provide an ideal backdrop for this structured, grown-up and classy wine. The finish is totally dry and wonderfully long.",91,33.0,Alsace,Domaine François Schmitt NV Blanc de Noirs Brut Pinot Noir (Alsace),Pinot Noir,Domaine François Schmitt
2997,France,"Although this is a nonvintage wine, it is a blend around 2012, hence the number in the name. Dominated by Pinot Noir, this ripe, full-bodied wine has a tangy texture boosted by acidity that contrasts with rich red apple and crisp pear flavors that give richness. Drink now.",91,50.0,Champagne,Lallier NV R.012 Brut  (Champagne),Champagne Blend,Lallier
2999,France,"Notes of ripe yellow apple play enticingly on the nose. They expand to full force on the palate and fill the mouth with their mellow goodness, supported in this by rich notes of shortbread and wonderful lemon freshness. The bubbles are creamy and disperse the lovely flavors to great effect. This is classy and delicious.",91,22.0,Alsace,Domaine Zinck NV Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine Zinck
3001,Italy,"Small red berry, spring flower, bread crust and Mediterranean brush aromas lift out of the glass. The vibrant palate delivers McIntosh apple, tangerine, ripe red berry and baking spice alongside fresh acidity and a soft, continuous mousse. A mineral note wraps around the crisp finish.",91,43.0,Italy Other,Dubl NV Rosé Brut Metodo Classico Aglianico (Vino Spumante),Aglianico,Dubl
3040,Spain,"This salmon-colored rosé is made from the Trepat grape. It smells common, with yeasty bready notes of orange peel and orange blossom. A basic palate is balanced, while this tastes of leesy dried melon prior to a medium-long finish.",88,17.0,Catalonia,Mas Pere NV Rosado Sparkling (Cava),Sparkling Blend,Mas Pere
3107,France,"A mature, serious wine, showing toasty flavors that are rounding out the fruit. A definite food wine, its richness tempered with a bite of acidity and delicious final crispness.",88,30.0,Alsace,Dopff & Irion NV Cuvée Prestige Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Dopff & Irion
3162,Italy,"There's a touch of burnt almond at the start, but this bright effort soon picks up speed thanks to delicate aromas of honey, cantaloupe and white peach. This is smooth and creamy on the finish.",86,16.0,Veneto,Carpenè Malvolti NV Cuvée Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti
3167,Italy,"Packaged in a pocket-friendly 187-ml bottle, this is fragrant and simple, with tonic, creamy foam and bright aromas of peach, honeydew and jasmine.",86,5.0,Veneto,Anna Spinato NV Mini  (Prosecco),Glera,Anna Spinato
3172,Italy,"Direct and immediate, this crisp effort shows pretty balance between its sweet fruit and zesty citrus elements. A perfect summer-sipping sparkling wine.",86,16.0,Veneto,Carpenè Malvolti NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti
3209,US,"Creamy, lush and somewhat robust, this dry sparkler offers a thick mousse and touch of richness in its mix of nutty bread dough, green apple, pear and lime.",90,22.0,California,Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer
3246,France,"There are flavors of peanuts as well as the more usual white fruits in this wine that is rounded and soft, with gentle acidity. The wine, fresh at the end, is ready to drink.",86,56.0,Champagne,Liebart-Régnier NV Brut  (Champagne),Champagne Blend,Liebart-Régnier
3302,Spain,"This one takes on an orange tint, and the aromas are akin to chocolate, spice cake and even some baked beans. The palate is quite crisp and healthy, with berry fruit, citrus and length. A good wine with a racy, cleansing feel. It's not spectacular but it ranks highly among similar competitors.",87,15.0,Catalonia,Codorníu NV Brut Rosé Pinot Noir (Cava),Pinot Noir,Codorníu
3303,Italy,"Thanks to its buoyant aromas of field flower, green apple, pear and dried sage leaf, you could definitely describe this as a multidimensional wine with noticeable elegance. There are musky, sweet fruit flavors on the finish.",87,19.0,Veneto,Conte Collalto NV Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Conte Collalto
3307,Italy,"This is a dry Prosecco, meaning it is slightly sweeter than a brut or extra dry. Traditionally, Prosecco has this level of sugar, making it a very true rendition of what the wine is intended to taste like: Fresh peach, basil, pineapple, yellow apple and even an understated touch of banana come into play.",87,22.0,Veneto,Adami NV Vigneto Giardino Dry  (Prosecco di Valdobbiadene),Prosecco,Adami
3310,Italy,"Here is a lighter, paler shade of Prosecco with opulent and cheerful soapy and herbal qualities (thanks to 10% Pinot Bianco) backed by lemon candy and polished mineral. Yellow apple and chalk are immediately recognizable. The mouthfeel is creamy and foamy with fresh crispness that is noticeable but not exaggerated.",87,16.0,Veneto,Bortolotti NV Brut  (Prosecco di Valdobbiadene),Prosecco,Bortolotti
3312,Spain,"Ginger ale and Sprite are the first things that come to mind when you give it a sniff. The palate shows ripe and sweet orange, tangerine and pink grapefruit, while the back end is lean and citrusy but far short of complex. Good in a standard way.",87,15.0,Catalonia,Codorníu NV Reserva Raventós Brut Sparkling (Cava),Sparkling Blend,Codorníu
3328,US,"Made from an unknown blend of grapes, this nonvintage red is good, dry and versatile. It has juicy flavors of blackberries and pepper, with some extra layers of depth that make it a good value for a restaurant by-the-glass wine.",87,18.0,California,Greater Purpose NV White Label Red (Dry Creek Valley),Red Blend,Greater Purpose
3500,US,"This frankly sweet sparkler smells like toasted almonds and pistachios, and tastes rich, round, floral and nutty. It has a good, fine bead, nice balance from the wine's acidity, and feels smooth and broad in texture.",88,14.0,California,Korbel NV Sweet Cuvée Sparkling (California),Sparkling Blend,Korbel
3501,France,"A soft and fruity style of rosé from a small Aube producer, this is ripe with red berry fruit and bright with acidity and orange zest tang. Dominated by Chardonnay, its color coming from still Pinot Noir wine, it's ready to drink now.",88,35.0,Champagne,Lété-Vautrain NV Brut Royal Rosé  (Champagne),Champagne Blend,Lété-Vautrain
3516,France,"This is the producer's nonvintage cuvée—a crisp, apple-flavored wine dominated by the softness of Pinot Meunier. It's fruity with an attractive and zesty acidity. A great apéritif-style Champagne.",88,24.0,Champagne,Baron-Fuenté NV Grande Réserve Brut  (Champagne),Champagne Blend,Baron-Fuenté
